name,modrinth,curseforge,description
,Rspf9Ia2,492872,醸造スタンドインターフェイス内でゲーム内醸造ガイドを提供
,Y7dBqGlW,663524,スクラッチから構築された様式化された LabPBR テクスチャ パック
,MnivJnH2,1096459,16x の小さなテクスチャ パック。Ashen 16x と高度なネザライトの基本的な互換性を追加します。
,4YkvO5Rp,682643,新鮮でありながら親しみのある 16x16 ピクセル スタイルの外観を Minecraft にもたらします
,B8XiXauo,897045,CTOV および Iron's Spells 'n Spellbooks MOD 用の互換性データ パック
,a79auWZr,353554,
,wH6e4Ark,878091,エンダージャーニー統合パック専用のエンダードラゴン戦闘サウンドエフェクトリソースパック
,jbhXFk8s,513233,リアルなテーマで構築された、食欲をそそるテクスチャーを備えた高性能 Minecraft テクスチャ パック
,LQaHxbyh,994247,インターフェース、ボタン、スロット、インジケーター、その他の精巧なバックパックの要素を包括的に再構築しました。
,uBgJtPlZ,903050,VillagersPlusにプロムナード取引オプションを追加しました
,ADTDsWVN,842285,オリジナルの単調さを楽しくユニークな死のメッセージに置き換えましょう。
,rOWBH37D,909772,
,oOmzVcny,379555,Minecraft 1.12.2 用の未来的なバニラ テクスチャ
,2CHnCFZX,298082,Android マテリアル フォントの太字バージョンが Minecraft に移植されました
,eJJZdOOj,489807,これは paulevs の作品 Lum のバックポートです
,6w0Ygc8D,592214,Minecraft x32 ビルディング ブロックと植物のバリアント + 3D モデル (x16 と互換性あり、オプションの忠実なスタイル)
,5bNHpilN,822053,オリジナルの Minecraft と互換性のある、さまざまな色の魔法の光効果オプションを提供します
,GQGN9FhO,1028439,Ashen 16x のカスタム クリーチャー モデル
,xdLxq20I,951359,ダークソウルをベースにした中世ゴシックフォント
,AO9YGaRF,297434,一部の Linux ディストリビューションで使用されるワイド セリフ フォント
,Jqgb3e3H,1006123,Autoslabs およびその他のモジュールのテクスチャの問題を修正しました
,Uigm3P2d,592232,旗パターンのアイテムがリテクスチャされ、複数の MOD と互換性があります。
,GRUV6SMM,949239,Xali ポーション MOD 用のファン拡張パック
,Uw76oOCJ,434605,ダイナミック RGB エクスペリエンス バー、ショートカット バー、バックパック インターフェイスの GUI パッケージを作成します。 OptiFine または Animatica (ファブリック) が必要です
,ti9KkMHm,551206,草ブロック、ポドゾル、菌糸体などにオリジナルスタイルの花や小石の装飾を追加します。
,EYdutVcx,711031,マップのテクスチャを調整して、より手持ちのような外観にしました
,hIdXd06Y,695262,フル解像度でリマスターされた鮮明で鮮明なデフォルト フォント
,prik3cIi,883457,CTOV および Paladin Priest MOD の互換性データ パック
,vBH38M7b,637018,Parallax PBR は、詳細なテクスチャと臨場感あふれるビジュアルを強化し、ブロックの世界にリアリズムを注入するリアリズム マテリアル パックです。
,kNewBYCK,517254,
,ivUZsvzp,782814,炎とソウルファイアのパーティクルを、小さなリソース パックのアニメーション バージョンに置き換えました。
,BB5Kj4qg,903888,トライデントをさらにかっこよくするCEMテクスチャパック(クリスタルバージョン)
,8fUbD0Qy,416323,Luna HD テクスチャ パック (1.21.3/1.20.6) は、月明かりの美しさにインスピレーションを受けており、コミュニティ アーティストが手描きした 3D モデルに絶妙なテクスチャを提供します。
,Mddj0vpG,1028456,Ashen 16x の青々とした葉のエフェクトを削除しました
,S6XROiqp,676748,レッドストーン補助表示素材パック（オリジナルのスタイルを維持しながらレッドストーン情報の視覚化を強化）
,h1XaRPDH,992235,オリジナルのコア シェーダーを使用して、雨滴の傾斜効果を実現します。MOD は必要ありません。
,8olVtpyI,698096,Minecraft インターフェースのダークテーマ再構築バージョン
,td2vmZqO,250080,Conquest Reforged モジュール用に最適化された専用リソース パック
,LSTBJenG,998152,村人リフレッシュの新鮮なアニメーション拡張
,shhv3Jy5,1104239,16x Small Compatibility Pack (Ashen 16x 食べるアニメーション付き)
,R6NEzAwj,385587,優れた画質、詳細、パフォーマンスで Minecraft のビジュアル エクスペリエンスを再構築します
,HuL3Q7xv,1080571,Ars Nouveau MOD のルーンタブレットなどのアイテムの最新化されたリテクスチャ
,9pR04wDX,1019617,本当にスムーズなプレーヤーアニメーション
,p6DhaYT0,979103,新しいテクスチャで Minecraft 体験をリフレッシュしましょう!
,EpQFjzrQ,678384,カラフルな照明と見事な視覚効果を備えた高性能のファンタジー スタイルのシェーディング パック
,X4yzdg2X,1061743,あなたのデバイスをグレッグ風味でいっぱいにしましょう
,UP2ZKKkg,1038055,Energy 2 のダークモード テクスチャを適用する
,LMIZZNxZ,534748,中止されたスーパーグラフィックスパックのような作品を模倣したカラーリングパック
,HJR6V0I2,811791,85 以上のカスタム ヘッドまたは未使用のバニラ モデルを備えたヒューマノイドに新しいバリアントを追加します。リソースパックは必要ありません。
,WX4iF5Cj,467280,ユニークな軽量カラーリングパック
,zYasBjYU,905289,ヘルスバーとステータスアイコンをUndertaleスタイルのモンスターソウルに変更
,EPsIYDj1,322360,オリジナルのスタイルを維持しながら、モダンなビジュアルのアップグレードを実現するシェーディング パック。
,hwexxTUf,898373,新しい音響効果で洞窟環境の多様性を強化
,u4nhiAdP,961754,フレッシュ アニメーション スタイルをモッディングの世界に導入する拡張パック
,UQCJikYy,500044,ミツバチの休息アニメーション！
,Wgc7LNqS,233263,雨音と雨滴テクスチャの長期開発リマスター パック
,kYxnqmnH,971821,コブルモンに超進化を追加！
,IJRcfnAh,901630,コブルモン アンノウン トーテム拡張パック (すべての文字を含む)
,uYE6VsYf,1014149,プレイヤーをプロモーション ビデオと同じくらいダイナミックでハンサムにしましょう (Fresh Animations からインスピレーションを得たアニメーション)
,UaS8ROxa,602290,非常に軽量な光と影の反射効果
,jKa9Ievs,861245,Minecraft レール用の 3D ブロックとアイテムのテクスチャ
,10ZKs5Zh,848261,Soartex Grove は 64x HD テクスチャ交換パックです
,ohjic8VB,862925,PokePlaques、ポケモンをテーマにした Cobblemon の拡張機能
,NbmssBLT,825072,Fresh アニメーションを Whimscape と互換性のあるものにしましょう!
,pUZXW8CZ,870866,古典的な生き物が再登場！
,1Ja8Sg6j,629172,オールフレームレスガラスにしましょう！
,IE80M8ZB,1040392,粘土からインスピレーションを得た Minecraft の彫刻バージョン! 128x 解像度
,u69nu00u,827093,このテクスチャ パックは、村人をさまざまな人間のプレイヤー画像に変換し、フレッシュ アニメーションをサポートし、ギャラリーでの使用方法を説明します。
,1jZGHJ05,1052640,炎の高さを低くして視認性を向上！
,ZSAWWDEn,1091267,Faithful 64x ユーザー インターフェイスをダーク モードに変換します。
,sN83aAhx,1052822,オリジナルのスタイルの 3D バレル モデルを維持しながら、ディテールを追加
,PGGrfcvL,618339,ランタンとチェーンに 3D 効果を追加する
,RfuHyyIz,876698,ボスのヘルスバーをより特徴的なものにするテクスチャ パック
,ti9eZ3CP,627908,はしごモデルを改良して立体化！
,1eQI3hb5,403272,画面四隅のケラレを除去（ワールド境界線の赤着色を含む）
,LukwUauE,1064711,Better 3D Beds テクスチャ パックは、ゲーム内のベッドの視覚効果を大幅に改善し、新しい 3D モデルを通じてよりリアルで繊細なプレゼンテーションを実現します。
,upxmhLsL,884697,ゾンビのリメイク テクスチャ パックに、複数の新しいバリエーションが追加されました。
,zUfkXkv1,892146,村人に傘を持たせましょう！
,3sV1gvyJ,1087342,単調な灰色のボックスに多様な魅力を注入する、Minecraft GUI グラフィカル インターフェイスの包括的な革新
,2OXong6G,886791,光るエリトラ テクスチャ パック: 10 色と 10 のパターン、名前を変更するだけで光るエフェクトが得られます (1.16 以降をサポート)
,UdM7EYgj,915945,光る鉱石
,eIP3d9ve,1127159,あなたの猫の姿をかわいい猫娘画像に変身させます
,DElGZnv9,990553,Stay True テクスチャ パックに鉱石の自己発光テクスチャを追加しました
,W9BuhONg,687721,丸い太陽
,d2srP5t3,921255,クリーパー テクスチャ パックがリメイクされ、複数の新しいバリエーションが追加されました。
,8cIUYFmo,746479,ウィザーの揺れを止めてください
,Go0Wa8T9,1064227,よりモダンでシンプルな Minecraft スタイルを作成する半透明の UI インターフェイス
,22ryUPeh,861287,雪上でのコブルモンのパフォーマンスが最適化され、細かい雪で立ち往生したり怪我をしたりすることがなくなりました
,gfiYlQU0,860898,Cobblemon スタイルの GUI テクスチャとサウンドエフェクト
,OaWx51mi,1068292,通常の肉の空腹値アイコンを金色のニンジンに置き換えます (ゲーム内の金色のニンジンのテクスチャを忠実に復元します。AppleSkin と互換性があります)。
,7Rq0ipFz,573998,アイコン テクスチャ パックから迷惑なロゴを削除します
,9E0mswEP,679026,Biomes o' Plenty モジュールのマテリアルがリニューアルされました!
,QTBR20BE,503047,Minecraft RTX Bedrock に含まれる 128x パックを再現
,85Qf7nOT,974032,Storage Drawers Mod の最新化されたテクスチャ
,J4cajZTT,850907,リアルでモダン、でもバニラの質感にこだわりました！
,wGj3AMfS,979783,Xaero のミニマップのエーテル アイコン
,r0TLtRDs,1002854,鮮やかな赤い日よけ、素朴な木造建築、そして本物の魅力など、市場からインスピレーションを得たインターフェイスで Minecraft の取引体験を一新しましょう!
,1ocOEl1h,1102018,緑をテーマにした 16x PvP テクスチャパック
,wJgNb2w8,871203,RPG 風のモブ！
,L85p0yMA,905855,メニューを Minecraft のカラフルなインタラクティブ ブロックのすべてに一致させることを目的としたコンテナ GUI 置換 MOD。
,Uupo7yGf,854122,Minecraft のはしごの 3D ブロックとアイテムのテクスチャ
,dEAKT8y9,345953,動的なシャドウを追加し、バニラのレンダリングを可能な限り維持しながら、可能な限りシンプルを維持しようとするシェーダーパック。
,78PcooxF,1089178,より良い馬のための新鮮なアニメーション アドオン!
,zeox1uzK,1253055,十字線が奇妙だと思いませんか？ このリソース パックは、十字線攻撃を改善することでこの問題を解決します。
,g4bSYbrU,1241234,太陽と月を 3D で再現し、空の機能を追加する MOD と互換性があります。
,oUuaUFjT,1051529,このテクスチャは、Minecraft のすべての剣を改造し、剣をより美しくモダンにし、画面の占有面積を減らします。つまり、これは PvP で使用するのに最適なテクスチャです。
,A57yBY4O,914315,Prominence カスタム UI の公式リソース パック。
,vz2hVVZC,856606,FreshLX の Fresh アニメーションと Barely Default を橋渡しするアドオンです。 これは最高の Minecraft 体験です
,UoLAbzII,1238490,3Dの食べ物モデルや食べるアニメーションを追加するMinecraftリソースパック！
,k3qLOytc,616555,スムース フォント テクスチャ パック (32x)
,xbzFxAxu,1000702,ALのボスラッシュをFresh_LXのFreshアニメーションに対応させるパック！
,CZrLuVQo,1052630,視界を確保するにはシールドを下げてください。
,N5b9zcOL,434088,Minecraft のいくつかのアイテムを磨き、再設計しました。
,mEoXNmGB,966998,Spell Power MODの非公式スペイン語翻訳。 すべてのスラング/バリエーションが含まれます。
,MyKpZ3St,942914,デフォルトのクリック音を、より優れた満足のいく音に変更します。
,zecHkxw5,947014,すべてのガラスとステンドグラスにダークアイアンの縁を付けて、素朴なスタイルを演出します。
,LSwvoIOi,1031329,まるで暗視のようにすべてを明るくします
,jgqB0JT9,1004371,メイスを手に持つと 3D になり、インベントリでは 2D になります。
,9wrMXul2,970498,機械用の光沢のある PBR テクスチャ!
,qznifDTe,380413,このリソース パックは、3D のランタンとトーチをあなたの手に追加します。
,QTqrHaYC,865903,Create Mod Forge/Fabric にダーク モードを追加します
,nvZcjWQN,1089090,MOD「Farmer's Delight」のリテクスチャ。 Maffhew による Excalibur リソース パックと一緒に実行できるように調整および作成されました。
,dOV2wnYX,891816,Applied Energistics 2 の 32x32 拡張機能のアイテム、ブロック、GUI のテクスチャ
,iQRsGaVM,635356,パンプキンブラーなし [ベータ 1.6.6 - 26.2]
,Gf5qKi6y,1153733,クリーンな UI、密集した草、カスタムの空の色。
,ah15eUSk,821727,ゲームのオリジナルのスタイルに忠実であろうとする、典型的なリソース パックです。
,uUTTKXJ8,1008488,紫をテーマにした PvP テクスチャパック
,g6UiPfKR,905076,不足しているモブと改造されたモブのアイコンが Xaero のマップに追加されます。
,eYOrj1fk,664393,FantasyPvP のテクスチャ パック コレクション (以前は FantasyPvP_256 として知られていました)
,l9VrawNM,694653,スケルトンに物理学を与えてください!
,v56DDppn,1092434,ドーパミンラッシュを手に入れて、退屈なヒット音を象徴的なヒットマーカーサウンドに置き換えましょう（ヒットマーカーは含まれていません）
,IZyRn6LS,897371,新鮮なアニメーション Mob との互換性が更新されました。
,dkLpFBWR,1057128,最大値を超えるエンチャントレベルにテクスチャが存在しない、元のパックの問題を修正
,D9KAZQwX,1082383,牛がよりリアルに見えるようになりました。
,lY5JwdOp,1348936,バニラフレンドリーなリソースパック。Minecraft の炉をより詳細に、よりスムーズに、そして実際に 3D にします。
,K2Q9LnPH,939603,コブルモンにネコポケモンを追加します。 コブルモンが必要です。
,EwJHG2NA,618200,より良い鎧、騎士の鎧！
,F0xSze0F,872063,Minecraft の象徴的な四角い月を円にするリソース パック! 強化された太陽と同じように、通常の月と同じ色、ほぼ同じ質感を維持することができました。 そして、ムーンフェイズも含まれています。
,iDUHM8rt,1031790,プログラマー アートをフレッシュ アニメーションと互換性のあるものにします。 (拡張パック対応!)
,NmEGeLB5,1093200,
,Sb5mtr2w,1245351,3Dバケツモデルを追加するMinecraftリソースパック！
,crMGMRni,1030930,没入型航空機を作成するための安山岩チェストを追加します
,KTpX4dHT,966992,Invocations mod の非公式スペイン語翻訳。 すべてのスラング/バリエーションが含まれます。
,Zxce2VFq,1014673,Xali のふさふさした葉のための未踏の地域アドオン
,pqCaRjYt,1008500,赤をテーマにした PvP テクスチャパック
,2XNqF3Y2,1019297,Create mod のビジュアル スタイルからインスピレーションを得た Applied Energistics のリソース パック。
,8d8M3Qoz,461745,あなたの世界をより活気に満ちた、より充実したものにしましょう。
,doORjuN5,455882,Minecraft Java Edition 用のリアルな PBR テクスチャ パック
,Aik1ReoK,1021263,
,dJ0i9p1N,783566,Stoneborn 用の MOD 付き GUI 互換性アドオン。250 を超える MOD のサポートを追加します。
,fbTZG6SB,1056380,このパックは、様式化された 3D 惑星を Ad Astra MOD に追加します。
,ja3KYkgc,1131006,Epic Fight 用の Knight Quest 互換パック。
,M7KG4X7U,506496,粒子に多様性を与える
,j4jO6gCp,872745,すべてのエンチャントされたアイテムを虹色に輝かせます
,2DvwHvEq,714073,雪の中の白い葉/草テクスチャ パックは、雪バイオームの葉と植物の色を白の色合いに変更します。
,xdyTyVL5,1254408,Better Combat で短剣としてタグ付けされていない Simply Swords and Mine Cells のアイテムを修正
,zMki5qeL,963042,Deatchill アーマー セットを Death Knights からインスピレーションを得たものに変えます。
,ztqVVkhx,813439,リアルな武器の衝撃音などを追加します。Better Combat MOD に最適なアドオンです。
,A32gwfe8,1264102,すべてのエンチャント可能なツールにアウトラインを追加します。
,H5zt4oZA,946429,雪キツネを人気Vtuber「白上フブキ」に変身させます。 とてもかわいいです...
,oC4pZTdw,803076,Created Pretty Pipes は、Ellpeck によって作成されたこの素晴らしい MOD のテクスチャを Simibubi による別の素晴らしい MOD のテクスチャで更新するリソース パックです。
,ctcDyQTJ,988824,ブロックをパーティクルなしで破壊したいですか? 私も
,gUPVFYEV,966855,Better Archeology MOD の非公式スペイン語翻訳。 すべてのスラング/バリエーションが含まれます。
,RVuHApuv,1379694,TFC Ambiental のテクスチャを更新します。
,ZddTMHhl,1241218,バニラの Minecraft で光る鉱石。MOD も OptiFine や Continuity も必要なく、ナトリウムで動作します。
,UrO57mt2,739747,前進プラークの Farmer's Delight テーマ。
,VuMFO1Oz,1085053,1.21.2 (24w33a) レッドストーントーチのバックポート
,GFYCh249,1085471,公式モデルなしでポケモンを高水準で追加するコブルモン用のデータパック:)
,lewweaHO,1076084,より没入感があり、より興味深く、よりカラフルな GUI と HUD が必要ですか? このパックはあなたのためのものです!
,J0bGM0Lw,965614,LootrチェストにProminenceのアートスタイルを持たせます。
,c7TYY6zY,1092506,連続性のある透明なガラス/オプティファイン
,66pREOkb,966846,Minecells MOD の非公式スペイン語翻訳。 すべてのスラング/バリエーションが含まれます。
,CKt3TjWO,898415,これは PvP パックであり、カオス トレーダー データパックとカオス アップル データパックのサポート パックでもあります。 シンプルな PvP パックとして、およびアドオン テクスチャ パックとして使用できます。バージョンは 1.16 から最新です。
,e2vOvRqb,391818,8x8 の漫画的でカラフルな外観!
,9MIstW3S,377388,もっと目に楽しい！
,fnWiZtPh,964706,ゾンビのバリエーションをさらに追加し、フレッシュ アニメーションと互換性があります。
,gpB2hGsz,846301,昔のアルファフォグを復活させましょう！
,wmps0BbU,1102010,紫をテーマにした 16x PvP テクスチャパック
,PvorqFZK,433396,この Modpack は、より良いプレイ体験を提供するために、Minecraft の MUSIC のみを置き換えるために作成されました。 正直なところ、Minecraft の音楽は退屈になる可能性があり、音楽によっては煩わしい場合もあります。 Stargate シリーズの音楽、Free Stock Music の音楽が含まれています。
,KLw2nTFF,974895,The Aether Mod 用の PBR リソース パック
,vUbGnkNv,1000607,Minecraft のボスを刷新するパック!
,Q1DELmr6,916842,AL のスケルトン改良版を Fresh_LX のフレッシュ アニメーションと互換性を持たせるパックです。
,kNBBebkY,1080098,高速グラフィック設定で葉の見栄えを良くし、派手なグラフィックでも動作します
,UTpAK1X9,885626,このパックはカボチャのぼかしを取り除き、火のオーバーレイを下げます。
,DaTwFRHK,389212,茂った葉と落ち葉のアニメーションを追加する UltimaCraft のアドオン
,aXfyrEe6,1137133,砂利、ブラックストーン、マグマブロック、ネザー鉱石のテクスチャをネザーラックに変更して、溶岩にあるネザライト/古代の残骸を簡単に採掘できるようにするリソース パックです。
,WcfyE2qJ,535560,
,q07DQAXj,1081907,PVP Crosshair テクスチャは、PvP 戦闘でのパフォーマンスを向上させたい Minecraft プレイヤーのために特別に開発されました。
,29CObK6J,870121,Coven は、完全な PBR サポート、Parallax を備えたリソース パックであり、Optifine を必要としません。 アイリスの使用をお勧めします。
,7GSwMeoa,965613,数ブロックごとに出現する迷惑なカカシを取り除きます。
,71ctNY6u,373804,UltimaCraft 用の PBR アドオン。 LabPBR 形式を使用したテクスチャに対する Optifine シェーダのサポートを追加します。
,8earkiWo,1111895,「最大の明るさ」であなたの Minecraft 体験を一変させましょう!
,wJkMxmyK,563837,QOL の強化、微調整、バグ修正を含む Vanilla+
,cTm36Ih9,695817,ヤギの角アイテムのブロック状のモデル
,Pb23xuCB,1063734,3D Farm は、さまざまな植物を美しく詳細な 3D モデルに変換し、農業および園芸体験を向上させる、Minecraft 用の視覚的に美しいテクスチャ パックです。
,gFIgesW5,627317,Bare Bones をよりプレイヤーフレンドリーにします (例: 葉を増やす)。
,rm3plbH7,566827,白くてクリアなGUI
,iC3aDZwb,957963,Epic Fight と Iron の Spells 'n Spellbooks アーマーを組み合わせる際の問題を修正。
,HjSPiUds,428227,一人称視点と三人称視点でのモブの頭の見え方を微調整します
,dJd2FHNx,618736,スイレンや蔓の造形を強化し、手元にある花を立体的に見せるパックです。
,kXiPMJsD,846603,紅葉を良くする
,rk1nx6Gr,1097843,Creepy Artist は、絵画を不気味な絵画に置き換えることを目的とした Minecraft リソースパックです。
,fa06JGLx,678799,改善が必要ないくつかのモブのビジュアルを徹底的に見直しました。
,py1bJwXp,1085230,PvP に必要なものがすべて含まれたテクスチャパック
,UuvUPWUV,1239428,The Sacred Script • 独特の特徴を持つ一連のフォント デザインと、増え続けるカスタマイズ オプション。
,DTmKqdgc,367438,ブロックやアイテムのアニメーションを通じて Minecraft に活気を与えることに特化したリソースパックです。
,NLiFCR9U,640876,トロッコに動く車輪を追加しましょう！
,F2D7CupJ,947373,PBR シェーダーをサポートする無料の HD、256x のリアルなリソース パック。 (JG RTXのJava化。)
,qNrmtXAJ,976493,ゲーム内のすべての霧を除去します。
,Hg9I7jyY,229788,最も現実的なリソースパックの 1 つのリロード バージョン - LB Photo Realism
,wRGAqH6L,1114805,Let's Do アイテムのモデルの一部をスプライトに似せるように改造するパック。
,ri5ZLOYS,908432,剣、弓、クロスボウなどの Minecraft の武器を CS:GO の武器に変更する PvP リソース パック
,ZmyjTSjb,345860,半分のサイズのアイテムで画面スペースを解放します
,orgtdk9U,862295,デフォルトの GUI のシンプルさを維持することで、新鮮なデザインを実現
,YbwPPde4,1152769,Sun and Moon Circular テクスチャ パックを使用して、Minecraft の空に特別なタッチを追加します。これは、太陽と月の満ち欠けを丸みのある滑らかな形状に変換し、ゲームの地平線にユニークでエレガントな外観を提供します。
,WfUVCgib,1061801,STONEBORN による modmenu mod のサポート
,IR9SLmt3,864851,トーテムを小さくします。
,vSkjVF7G,966850,Aether Redux MOD の非公式スペイン語翻訳。 すべてのスラング/バリエーションが含まれます。
,ybSB27ca,983151,スケルトンを更新して、よりリアルなアニメーションでよりリアルに見えるようにします
,9NXbHzs3,983201,機能ブロックのユニークなテクスチャを備えたダーク UI。 ユニークダークの別バージョン
,XZhhYcY0,1090911,スケルトンに物理学を与える - 新鮮なアニメーションが追加されました!
,sLNjRsFF,1027082,ソウルソイルとソウルサンドを使用してソウルストーンを作成できるようにします。
,5ekfW0sy,1296530,オプティファインなしの接続ガラス。
,tRnWk5eY,1089184,より良い猫のための新鮮なアニメーション アドオン!
,6k66yAqN,422744,改良されたモブモデル
,RgVos2bo,1159131,Fullbright SP テクスチャ パック (Sodium with PolyTone)
,3tXcbjvK,861104,退屈なマインクラフトの剣を壮大なファンタジー武器に変えることができるパック!
,YoZjigqW,846276,Pixelmon Mod のダークモード GUI。
,lBQSreft,557454,さまざまなアニメーションテクスチャのオーバーホールと追加、PBRをサポート！
,AFl4lkap,1102852,Tom Simple Storage のテクスチャを再考して、よりバニラの外観に近づけました。
,uSUkeiw6,1050626,すべてのトーチモデルをフレッシュでファンシーな新しい外観に変更します。
,unF1UIT0,1058061,ETF + EMFを使用してバニラの鎧を3D化します
,eJB0aDIf,1128934,すべての退屈な改造された GUI に新しい外観を追加します。
,abPebRRB,1098749,Simply Swords MOD のすべてのユニークな武器のモデルを変更して、エピックかつ 3D にするリソース パックです。
,Wfi30LiS,963059,Simply Swords からの最初の参加時にルーングリモアを削除します
,BBx79tDa,849788,鎧を目立たなくします、トリム、1.20、限定ライフのような
,8vfIIrYM,1040251,非公式カスタム Mandala の GUI - ダークモード MOD の互換性
,bYcjtBki,1068335,スポーンエッグを木枠内のモブに置き換えます
,mBOrTfBq,1108988,17 の異なる Cobblemon アドオンを組み合わせて、約 160 の Cobblemon を導入します。
,TM6bvxX6,1027227,
,UlSCqtop,1104926,アクセサリー MOD の非公式スペイン語翻訳。 すべてのスラング/バリエーションが含まれます。
,4XVKh1GK,284370,MCに3D武器モデルを追加！ (カスタムアイテムテクスチャ)
,N7Eq8Y7N,996858,村人と村人をリフレッシュ！
,7VDyaMyP,646979,Create Mod の小さな再解釈
,8TU6o1es,897427,Kartixx の Alpha Sound Pack を使用して、Minecraft のクラシックなサウンドを最新バージョンに取り入れましょう。
,B4uFCmul,1029868,トーテムを木の十字架に置き換えます
,VsX5R47V,1117593,Ashen 16x と Prominence Original Soundtrack 間の互換性を追加する小型の 16x パック
,iKIcN9kc,916492,AL の Zombies Revamped を Fresh_LX の Fresh アニメーションと互換性のあるものにするパック!
,ecvZ19Jw,906620,MODパック「Conquest of Hunterra」用のリソースパックです。
,EM3an8Tk,639090,猫のようなつる植物
,BOgQ3bcY,1004413,新しい時代を創造するテクスチャーを想像する新しい方法
,uJC1fwNH,892893,アーマーを一新！
,etbi6jFn,386377,小さなツールをあなたの手に！
,yhG3oUCc,896714,不死のトーテムを時計に置き換えます。
,FA4ebMMU,1079595,このパックは、一部のサーバーで見られるように、小文字を大文字の小さいバージョンに置き換えます。 🫐
,bt01VSR0,1056358,手に収まるツールが小さくなります。
XeKr スクエア パターン,rq4lDGdf,338808,正方形のテクスチャとブロックのステータス表示が追加され、OptiFine は不要になりました。
XeKr レッドストーン表示,4ueVo9s5,310448,レッドストーンワイヤーエネルギーレベル表示/レッドストーンブロック発動状態表示/方向ブロック方向表示/経験値玉経験値表示/接続ログ表示/作物状態表示強化
アニメーションワールド (拡張),,813608,このテクスチャ パックは拡張パックであり、通常の使用には FreshAnimations の上にロードする必要があります。
アニメの世界,50dA9Sha,453763,あなたのゲームをプロモーションビデオアニメーションのように見せましょう！ Mod エンティティ モデルの機能が必要
